CODGEO;HT22;HT022;HT122;HT222;HT322;HT422;HT522;HTCH22;HTCH022;HTCH122;HTCH222;HTCH322;HTCH422;HTCH522;CPG22;CPG022;CPG122;CPG222;CPG322;CPG422;CPG522;CPGE22;CPGE022;CPGE122;CPGE222;CPGE322;CPGE422;CPGE522;CPGEL22;CPGEL022;CPGEL122;CPGEL222;CPGEL322;CPGEL422;CPGEL522;CPGEO22;CPGEO022;CPGEO122;CPGEO222;CPGEO322;CPGEO422;CPGEO522;VV22;VVUH22;VVLIT22;RT22;RTUH22;RTLIT22;AJCS22;AJCSUH22;AJCSLIT22
85209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;41;0;0;0;41;0;0;7;0;0;0;7;0;0;34;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0
85211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;25;0;25;0;0;0;0;0;0;0;0;0;0;0;25;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0
85214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;46;0;0;46;0;0;0;11;0;0;11;0;0;0;35;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0
85215;1;0;0;1;0;0;0;18;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;1;0;187;0;68;0;0;119;0;71;0;0;0;0;71;0;116;0;68;0;0;48;0;0;0;0;1;21;120;0;0;0
85222;5;0;0;1;4;0;0;158;0;0;30;128;0;0;4;0;0;1;1;2;0;749;0;0;167;58;524;0;285;0;0;72;58;155;0;464;0;0;95;0;369;0;1;42;113;1;82;416;0;0;0
85223;2;1;0;0;1;0;0;59;10;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
